page_id,name,SPECIES,ALIGN,EYE,HAIR,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,Secret Identity,Public Identity,No Dual Identity,Male Characters,Female Characters,Agender Characters,Genderfluid Characters
53473,Ace ,Pilot) ,Bad Characters,Yellow Eyes,Black Hair,Heterosexual Characters,Living Characters,,32264,1988,1,0,0,1,0,0,0
13055,Xenith ,Earth-616),Bad Characters,Brown Eyes,Bald,Heterosexual Characters,Living Characters,16,35034,1995,1,0,0,0,1,0,0
725346,Mud-Ah ,Earth-616),Bad Characters,Green Eyes,No Hair,Heterosexual Characters,Living Characters,1,43526,2002,0,1,0,1,0,0,0
340078,Karen Trudeaux ,Earth-616),Bad Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,1,43776,2007,1,0,0,0,1,0,0
2414,Vision ,Earth-616),Good Characters,Gold Eyes,No Hair,Heterosexual Characters,Living Characters,1007,25112,1968,1,0,0,1,0,0,0
534267,Harry Key ,Earth-616),Bad Characters,Violet Eyes,Red Hair,Heterosexual Characters,Living Characters,10,27942,1976,0,1,0,1,0,0,0
510007,Lavin Skee ,Earth-616),Good Characters,,Bald,Heterosexual Characters,Deceased Characters,2,43591,2006,0,1,0,1,0,0,0
4420,Samantha McGee ,Earth-616),Bad Characters,Yellow Eyes,Brown Hair,Heterosexual Characters,Living Characters,6,36434,1999,0,1,0,0,1,0,0
685236,Keith Chandler ,Earth-616),Neutral Characters,Green Eyes,Red Hair,Heterosexual Characters,Living Characters,4,34060,1993,0,1,0,1,0,0,0
452707,Bogat ,Earth-616),Neutral Characters,Black Eyes,Orange Hair,Heterosexual Characters,Living Characters,2,15067,1941,1,0,0,1,0,0,0
76271,Zephyrus Jones ,Earth-616),Good Characters,Green Eyes,Auburn Hair,Heterosexual Characters,Living Characters,4,14642,1940,0,1,0,1,0,0,0
709654,Lisa Beckman ,Earth-616),Bad Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,34213,1993,1,0,0,0,1,0,0
510146,Shaara ,Collection Agency) ,Bad Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,5,33604,1992,1,0,0,0,1,0,0
755042,Timmy Jordan ,Earth-616),Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,1,17777,1948,0,0,1,1,0,0,0
