mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
-1.3,-5.1,3.8,3.8,1.4,39.1,2.1,1016.8,1029,1025.9,1027.8,8.3,6.14,1,-1.7,0
-1.8,-4.3,1.8,4.9,1.8,42,2.2,1018.1,1030.7,1027.6,1029.2,7.9,5.36,2.3,-2.3,0
-4.7,-7.1,-0.4,3.5,2.2,42.3,1.8,1019.9,1033.1,1029.8,1031.1,8.6,6.56,3.6,-3.4,0
-4.7,-8.7,-0.7,3.5,1.4,43,1.8,1016.5,1031.7,1023.7,1027.6,6.2,4.73,6.5,-3.3,0
-3,-5.6,1.6,3.6,1.7,48.4,2.4,1010.3,1023.8,1019.2,1021.3,8.2,5.96,3.6,-2.6,0
-2.8,-6.8,2.9,3.1,1.5,45.8,2.2,1012.9,1025.8,1021.7,1023.9,8.8,6.79,0,-3.1,0
-0.8,-5.7,2.8,2.5,0.8,42.1,2.4,1010.7,1025.7,1018.3,1021.6,3.1,3.75,7.5,-2.2,0
1.3,-1.2,4,7.1,1.8,51.9,3.4,1000.6,1018.3,1007.5,1011.3,0.5,2.39,9,0.4,1
-4.2,-6.1,-1.2,6.1,2.9,59.4,2.7,1002.8,1015.3,1009.4,1013.7,8.4,5.6,3.5,-1.2,1
-7.5,-10.3,-4.8,6.1,3,52,1.8,1007.9,1023.6,1014.3,1019.1,8.8,6.85,0.9,-2.9,1
-11.1,-13.6,-7.4,4.9,2.8,49.8,1.3,1015.9,1030.4,1023.5,1027.3,8.7,6.8,0.4,-5.6,0
-10.2,-15.3,-5.4,3.6,1.7,35.4,1,1020.6,1033.8,1030.2,1032,8.8,7.11,2.3,-6.1,0
-4.4,-6.6,-1.2,1.7,0.8,67.3,3,1021.1,1033.6,1030.9,1032.3,0.9,2.8,8.3,-2.8,1
0.6,-4.4,5.4,2.8,1.2,64.1,4,1017.9,1033.4,1024,1028.8,5.6,4.55,7,-1.1,0
4.7,1.8,7.7,3.3,1.4,63.9,5.4,1012.8,1025.7,1022.3,1023.5,6.5,4.67,7.6,1.5,1
3.5,0.1,6.8,2.2,0.7,59.1,4.6,1007.6,1022.8,1015.6,1018.3,0.5,2.4,9.8,0.7,0
4.5,2.4,8.7,3.7,1.2,64.1,5.4,1007.2,1020.9,1015.7,1017.9,4.8,4.17,7.4,1.7,0
2.1,0.3,4.5,3.8,1.9,59.6,4.3,1012.9,1026.3,1020.4,1023.7,,,8.6,1.3,0
1,-2.5,5.5,3.7,1.6,43,2.8,1013.5,1026.9,1022.3,1024.3,8.7,6.56,3.8,0.3,0
2.2,-1,6.9,3.6,1.6,57.6,4.2,1012,1024.4,1020.5,1022.7,5.3,4.51,5.1,0.2,0
0.4,-3.7,5.5,3.2,1,36.6,2.2,1012.7,1025.9,1020.9,1023.6,8.2,5.88,2,-0.5,0
0.2,-5.3,4,5.1,1.5,56.5,3.5,1005.2,1021,1011.4,1016,0.7,1.91,9.4,-0.2,1
-11.7,-14.6,-5.3,5.4,3.7,42,1.1,1013.4,1028.5,1017.7,1024.8,9.1,7.62,0.3,-4.4,0
-14.2,-16.3,-10.7,7.2,3.4,31.6,0.7,1018.3,1031,1028.2,1029.9,8.9,7.73,0,-8.3,0
-14,-16.4,-9.5,4.8,2.8,32.6,0.7,1019.1,1033,1029,1030.7,8.3,7.28,3.6,-8.5,0
-14.8,-17.8,-10.7,4.6,2.6,34.9,0.7,1018.9,1031.8,1028.8,1030.5,,,0,-9.3,0
-9.9,-15.9,-3.5,3.4,1.4,37.4,1.1,1017.8,1032.3,1025.3,1029.2,9,7.5,1.8,-7.5,0
-6.3,-9.3,-1.2,5.6,2.6,36,1.4,1011.6,1026,1019.9,1022.8,7.6,6.38,3.3,-4.4,0
-8.5,-11.6,-4.7,6.2,2.7,35,1.1,1013,1026.3,1022.6,1024.2,8.9,7.68,0.1,-6.2,0
-5.3,-11.4,-0.8,3.8,1.3,62,2.8,1014.7,1027.5,1024.5,1025.8,5.6,5.41,5.8,-4.6,1
-2.6,-5.2,0,3.4,1.6,54.5,2.7,1016.6,1028.9,1025.2,1027.7,1.8,3.9,7.4,-1.8,0
-4,-8.8,1.2,3.9,1.6,44.1,1.9,1018.3,1031,1027.9,1029.4,9.1,8.09,0,-3.1,0
-2.4,-7.6,3.8,3.6,1.6,51.1,2.5,1017.5,1031.2,1026.4,1028.5,8.8,7.29,1.9,-2.8,0
-7.3,-10.4,-2.1,5.7,3.8,47,1.7,1017.2,1029.8,1026.7,1028.4,9.1,13.65,1.3,-3.7,1
-9.5,-12.8,-5.2,5.6,3.1,40.9,1.2,1017.3,1029.8,1027.4,1028.7,9.1,13.65,0,-6.6,0
-9.4,-11.8,-5.1,5.6,3,37.8,1.1,1015.1,1029.2,1024.5,1026.4,9.3,14.31,0.1,-6.8,0
-10.1,-12.8,-5.8,4.9,3.1,36.5,1,1014.4,1027.4,1023.8,1025.7,9,14.13,1.1,-6.9,0
-8,-13.4,-1.6,3.3,1.5,39.8,1.2,1015.4,1028,1024.9,1026.7,9.2,13.39,1,-6.1,0
-4.4,-9.7,2,3,1.2,43.3,1.8,1014,1026.6,1023.6,1025.1,9.2,13.05,0.3,-3.9,0
0.4,-5.3,6.1,3,1.1,43.9,2.8,1011.8,1024.9,1020.5,1022.6,2.2,6.56,9.1,-1.3,0
-0.5,-6.9,3.2,6.3,3,47.4,3.1,1010.9,1025,1019.5,1021.8,5.3,9.41,6.5,0.2,0
-6.1,-9.5,-2.2,5.1,2.7,42.5,1.7,1011.3,1024.8,1019.1,1022.4,6.6,12.26,3.5,-3.4,0
-5.8,-9.6,-1.8,5.2,2.7,40.8,1.7,1011,1023.6,1020.1,1022.1,8.7,13.74,4.1,-3.2,0
-0.8,-7.4,4.3,5.6,2.7,54.5,3.2,1011,1024.6,1019.9,1021.9,8.3,13.72,3.1,-1.5,0
3.5,-0.7,8.7,5.4,2.6,51,4.1,1006.3,1021.4,1014,1017,3.3,6.92,7.4,1.7,0
-0.7,-3.7,4,4.4,2.5,28,1.6,1011.5,1024.4,1020.7,1022.4,,,3.8,0.9,0
-1.1,-5.5,4.9,5.5,2.1,40.1,2.3,1008.1,1021.8,1016.3,1019,9.7,14.1,3.3,-0.1,0
-3,-7.1,1.4,5.5,2.9,25.6,1.2,1014.1,1027.4,1020.1,1025.1,9,15.8,1.9,-0.8,0
-0.4,-4.9,5.2,3.5,1.3,26.9,1.6,1015.5,1028.7,1024,1026.4,7.2,11.22,7.4,-0.1,0
